timestamp,open,high,low,close,volume,volume_quote
1619481600.0,3.019,3.889,2.969,3.804,3748070.365,13277762.071813
1619568000.0,3.798,4.07,3.642,4.057,2384578.189,9143402.402216
1619654400.0,4.048,4.07,3.555,3.759,2740254.261,10363270.89858
1619740800.0,3.761,4.319,3.714,4.043,4546741.276,18189926.49984
1619827200.0,4.05,4.5,3.927,4.387,3484525.086,14960259.60285
1619913600.0,4.39,4.415,4.097,4.278,2158668.823,9204408.968837
1620000000.0,4.282,4.649,4.0,4.43,3967050.772,17553240.41135
1620086400.0,4.439,4.92,4.421,4.839,3723168.404,17421287.186344
1620172800.0,4.828,5.4,4.15,4.983,9193594.327,44831402.905132
1620259200.0,4.957,5.8,4.923,5.061,10195219.3,54726233.529257
1620345600.0,5.063,5.4,4.6,4.746,5546622.051,27863550.497871
1620432000.0,4.735,4.888,4.36,4.583,4389825.244,20469389.851117
1620518400.0,4.583,4.779,4.333,4.406,2908137.119,13177069.546586
1620604800.0,4.406,4.846,4.31,4.839,3162273.89,14559647.992402
1620691200.0,4.834,5.199,3.9,4.203,4669569.425,21671312.316464
1620777600.0,4.215,4.419,3.994,4.419,2764844.95,11754279.780233
1620864000.0,4.416,4.689,3.7,3.735,5058269.943,21239431.733372
1620950400.0,3.725,4.852,3.505,4.378,10379479.814,44783066.687045
1621036800.0,4.387,4.572,4.07,4.208,3301507.473,14256950.381061
1621123200.0,4.211,4.264,3.75,3.818,2468007.863,9964361.991791
1621209600.0,3.812,4.123,3.502,3.847,2625604.245,10032323.102503
1621296000.0,3.848,3.857,3.25,3.426,2792888.096,9865623.466397
1621382400.0,3.445,3.79,3.398,3.699,1916064.638,6972891.590202
1621468800.0,3.702,3.776,1.41,2.204,6337309.696,17105382.035396
1621555200.0,2.204,2.695,2.001,2.443,4422778.499,10485600.48617
1621641600.0,2.435,2.587,1.685,1.981,4113094.171,8729079.412912
1621728000.0,1.99,2.034,1.67,1.69,3583221.62,6462106.593914
1621814400.0,1.686,1.761,1.328,1.371,2124932.803,3252621.695867
